source,target
0,5
0,8
0,1
0,2
0,7
0,16
0,19
0,27
0,31
0,34
0,54
0,56
0,61
0,62
0,65
0,85
0,89
0,90
0,91
0,108
0,120
0,121
0,161
0,163
0,165
0,167
0,186
0,195
0,204
0,224
0,235
0,250
0,258
0,265
0,271
0,338
0,341
0,365
0,379
0,385
0,391
0,403
0,421
0,439
0,445
0,465
0,488
0,515
0,528
0,540
0,547
1,6
1,4
1,8
1,10
1,12
1,13
1,21
1,36
1,38
1,43
1,50
1,60
1,68
1,69
1,78
1,83
1,88
1,149
1,155
1,159
1,194
1,197
1,232
1,245
1,302
1,330
1,377
1,427
1,437
1,462
1,516
1,541
1,542
1,547
2,5
3,4
3,5
3,11
3,20
3,25
3,27
3,30
3,34
3,44
3,87
3,116
3,126
3,129
3,147
3,195
3,223
3,226
3,270
3,327
3,339
3,386
3,403
3,410
3,432
3,452
3,526
3,533
4,9
4,22
4,23
4,59
4,76
4,166
4,173
4,179
4,188
4,216
4,271
4,307
4,309
4,332
4,352
4,472
4,485
5,6
5,10
5,14
5,15
5,17
5,21
5,28
5,33
5,42
5,43
5,50
5,52
5,53
5,57
5,61
5,70
5,100
5,104
5,110
5,111
5,112
5,119
5,133
5,144
5,167
5,200
5,246
5,281
5,287
5,288
5,296
5,297
5,315
5,325
5,343
5,371
5,378
5,399
5,426
5,429
5,462
5,484
5,485
5,494
5,495
5,499
5,500
5,503
5,518
5,524
5,545
6,7
6,9
6,11
6,13
6,15
6,23
6,24
6,25
6,26
6,29
6,33
6,70
6,74
6,81
6,82
6,87
6,92
6,104
6,115
6,124
6,156
6,157
6,181
6,184
6,185
6,188
6,189
6,190
6,229
6,242
6,248
6,251
6,254
6,278
6,298
6,376
6,428
6,448
6,450
6,460
6,482
6,502
6,510
6,518
7,14
7,16
7,18
7,24
7,35
7,36
7,48
7,54
7,58
7,127
7,174
7,264
7,457
7,514
8,305
9,30
9,66
9,75
9,131
9,191
9,300
9,344
9,444
10,20
10,29
10,46
10,96
10,109
10,120
10,129
10,150
10,228
10,286
10,312
10,342
10,433
10,534
11,12
11,22
11,28
11,32
11,62
11,72
11,84
11,91
11,93
11,98
11,168
11,171
11,177
11,204
11,221
11,232
11,265
11,349
11,514
11,549
12,19
12,37
12,42
12,49
12,192
12,262
12,290
