,source,target
0,0,82
1,1,230
2,2,435
3,3,73
4,3,194
5,3,236
6,3,364
7,3,378
8,3,398
9,3,529
10,4,5
11,4,27
12,4,201
13,4,202
14,4,391
15,4,402
16,4,403
17,4,528
18,4,547
19,5,239
20,5,242
21,5,295
22,6,20
23,6,35
24,6,113
25,6,172
26,6,202
27,6,494
28,6,522
29,7,17
30,7,164
31,7,213
32,7,224
33,7,257
34,7,279
35,7,328
36,7,406
37,7,517
38,7,541
39,7,548
40,8,35
41,8,81
42,8,87
43,8,90
44,8,472
45,9,57
46,9,107
47,9,111
48,9,356
49,10,35
50,10,79
51,10,196
52,10,292
53,10,295
54,10,341
55,10,429
56,10,475
57,11,27
58,11,60
59,11,174
60,11,454
61,12,71
62,12,190
63,12,283
64,12,530
65,12,548
66,13,16
67,13,20
68,13,39
69,13,82
70,13,151
71,13,247
72,13,406
73,14,18
74,14,48
75,14,79
76,14,133
77,14,393
78,14,423
79,14,497
80,14,513
81,15,56
82,16,163
83,16,191
84,16,207
85,16,383
86,16,446
87,16,470
88,17,181
89,17,200
90,17,353
91,17,508
92,17,545
93,18,202
94,18,260
95,18,279
96,18,305
97,18,346
98,18,389
99,19,92
100,19,164
101,19,274
102,19,395
103,19,449
104,20,483
105,21,45
106,21,547
107,21,548
108,22,81
109,22,256
110,22,272
111,22,300
112,22,498
113,22,525
114,23,65
115,23,108
116,23,197
117,23,236
118,23,281
119,23,380
120,23,412
121,23,455
122,24,115
123,24,204
124,24,214
125,24,295
126,25,139
127,25,154
128,25,161
129,25,231
130,25,259
131,25,359
132,25,391
133,25,458
134,26,63
135,26,290
136,26,387
137,26,499
138,27,45
139,27,136
140,27,170
141,27,223
142,27,266
143,28,43
144,28,92
145,28,161
146,28,306
147,28,359
148,28,423
149,29,83
150,29,308
151,29,458
152,29,515
153,30,220
154,30,279
155,30,348
156,31,303
157,32,58
158,32,166
159,32,207
160,33,422
161,33,482
162,33,503
163,33,523
164,33,546
165,34,100
166,34,132
167,34,178
168,34,183
169,34,300
170,34,393
171,35,108
172,35,362
173,35,372
174,35,475
175,36,81
176,36,103
177,36,122
178,36,269
179,36,464
180,37,58
181,37,66
182,37,245
183,37,266
184,37,275
185,37,417
186,37,448
187,37,493
188,38,75
189,38,249
190,38,299
191,38,336
192,38,348
193,38,457
194,38,500
195,39,45
196,39,93
197,39,194
198,40,157
199,40,314
200,40,337
201,40,431
202,41,113
203,41,269
204,41,355
205,41,403
206,41,414
207,41,516
208,41,544
209,42,47
210,42,95
211,42,107
212,42,238
213,42,266
214,42,323
215,42,499
216,42,516
217,42,523
218,42,548
219,43,99
220,43,107
221,43,131
222,43,323
223,43,375
224,43,518
225,44,148
226,44,159
227,44,394
228,44,423
229,45,243
230,45,292
231,45,423
232,46,117
233,46,161
234,46,277
235,46,330
236,46,400
237,46,448
238,46,478
239,46,543
240,47,190
241,47,254
242,47,355
243,47,536
244,48,362
245,48,389
246,48,418
247,48,478
248,48,498
249,48,536
250,49,131
251,49,275
252,49,437
253,50,113
254,50,252
255,50,254
256,50,365
257,50,441
258,50,466
259,51,409
260,51,532
261,52,87
262,52,105
263,52,167
264,52,386
265,52,456
266,52,502
267,52,536
268,53,117
269,53,179
270,53,265
271,53,295
272,53,407
273,53,486
274,53,545
275,54,101
276,54,173
277,55,165
278,55,266
279,55,295
280,55,460
281,56,343
282,56,500
283,56,502
284,56,519
285,57,63
286,57,77
287,57,106
288,57,181
289,57,302
290,57,396
291,57,544
292,58,70
293,58,107
294,58,213
295,58,356
296,58,421
297,58,443
298,59,60
299,59,149
300,60,87
301,60,110
302,60,304
303,60,360
304,60,426
305,60,471
306,60,473
307,61,66
308,61,88
309,61,96
310,61,181
311,61,280
312,61,284
313,61,384
314,62,128
315,62,222
316,63,70
317,63,74
318,63,98
319,63,164
320,63,172
321,63,173
322,63,177
323,63,292
324,63,315
325,63,371
326,63,457
327,64,186
328,64,326
329,64,437
330,64,470
331,64,541
332,65,509
333,65,510
334,65,540
335,66,99
336,66,179
337,66,526
338,66,534
339,67,159
340,67,207
341,67,224
342,67,282
343,67,490
344,68,88
345,68,450
346,69,137
347,69,193
348,69,229
349,69,233
350,69,320
351,69,323
352,69,387
353,70,72
354,70,325
355,71,86
356,71,99
357,71,137
358,71,146
359,71,159
360,71,192
361,71,216
362,71,232
363,71,275
364,72,134
365,72,136
366,72,214
367,72,308
368,72,322
369,73,92
370,73,302
371,73,452
372,73,465
373,74,335
374,74,399
375,74,411
376,75,128
377,75,252
378,75,312
379,75,330
380,75,356
381,75,506
382,76,101
383,76,142
384,76,275
385,76,303
386,77,117
387,77,152
388,77,171
389,77,208
390,77,347
391,77,471
392,77,532
393,78,82
394,78,126
395,79,112
396,79,216
397,79,233
398,79,468
399,80,98
400,80,111
401,80,206
402,81,139
403,81,347
404,82,86
405,82,149
406,82,183
407,82,206
408,82,306
409,82,321
410,82,511
411,82,525
412,83,102
413,83,430
414,83,519
415,83,532
416,83,547
417,84,228
418,84,247
419,84,526
420,84,527
421,84,538
422,85,492
423,86,98
424,86,232
425,86,426
426,87,195
427,87,225
428,87,333
429,88,447
430,89,169
431,89,384
432,89,416
433,90,130
434,90,301
435,90,316
436,90,356
437,90,377
438,90,380
439,90,413
440,90,424
441,91,289
442,91,468
443,91,532
444,92,102
445,92,103
446,92,137
447,92,200
448,92,339
449,92,424
450,93,244
451,93,268
452,93,363
453,93,371
454,94,114
455,94,130
456,94,142
457,94,148
458,94,200
459,94,311
460,94,546
461,95,127
462,95,194
463,95,268
464,95,436
465,95,500
466,96,128
467,96,169
468,96,177
469,96,406
470,96,484
471,97,240
472,97,316
473,97,383
474,97,437
475,97,516
476,98,165
477,98,242
478,98,272
479,98,377
480,98,462
481,98,465
482,99,253
483,99,409
484,99,513
485,99,515
486,99,537
487,100,311
488,100,347
489,100,354
490,100,363
491,101,182
492,101,191
493,101,234
494,101,360
495,101,520
496,102,156
497,102,175
498,103,107
499,103,266
500,103,313
501,103,386
502,103,398
503,103,504
504,103,547
505,104,305
506,104,373
507,104,425
508,104,516
509,105,180
510,105,369
511,105,478
512,105,521
513,105,540
514,106,316
515,106,384
516,106,416
517,106,436
518,106,475
519,107,385
520,108,112
521,108,365
522,108,383
523,108,440
524,108,457
525,108,516
526,109,271
527,109,338
528,109,371
529,109,389
530,109,413
531,110,180
532,110,303
533,110,317
534,110,487
535,111,123
536,111,151
537,111,195
538,111,218
539,111,251
540,111,318
541,111,328
542,111,419
543,111,420
544,111,453
545,111,484
546,111,532
547,112,233
548,112,253
549,112,379
550,112,424
551,112,449
552,113,174
553,113,186
554,113,348
555,113,517
556,113,529
557,114,119
558,114,320
559,114,342
560,114,498
561,114,537
562,115,217
563,115,508
564,116,342
565,116,454
566,116,489
567,117,242
568,117,250
569,117,377
570,117,491
571,118,119
572,118,372
573,118,495
574,118,508
575,119,125
576,119,178
577,120,324
578,120,514
579,121,264
580,121,312
581,121,456
582,121,497
583,122,234
584,122,349
585,122,408
586,122,418
587,122,446
588,123,459
589,124,164
590,124,175
591,124,237
592,124,333
593,124,396
594,124,442
595,124,480
596,125,196
597,125,208
598,125,315
599,125,409
600,125,527
601,126,133
602,126,260
603,126,422
604,126,438
605,126,466
606,126,483
607,126,502
608,126,535
609,127,434
610,127,494
611,128,178
612,128,261
613,128,363
614,128,372
615,128,455
616,129,277
617,129,353
618,129,531
619,130,220
620,130,334
621,130,391
622,130,400
623,130,499
624,130,509
625,130,547
626,130,549
627,131,266
628,131,486
629,132,163
630,132,235
631,132,344
632,132,374
633,133,215
634,133,227
635,133,401
636,133,451
637,133,532
638,134,259
639,134,284
640,134,380
641,134,461
642,135,339
643,135,452
644,135,474
645,135,542
646,136,189
647,136,193
648,136,223
649,136,263
650,136,295
651,136,324
652,136,383
653,136,388
654,136,451
655,136,493
656,136,513
657,136,543
658,137,194
659,137,375
660,137,376
661,139,196
662,139,197
663,140,167
664,140,175
665,140,188
666,140,376
667,141,193
668,141,348
669,141,354
670,142,269
671,142,411
672,143,199
673,143,330
674,143,413
675,143,444
676,143,473
677,144,507
678,145,257
679,145,289
680,145,356
681,145,391
682,145,549
683,146,199
684,146,284
685,146,447
686,147,267
687,147,500
688,148,406
689,149,218
690,149,222
691,149,228
692,149,310
693,149,313
694,149,483
695,149,548
696,150,209
697,150,393
698,150,485
699,150,539
700,151,207
701,151,210
702,151,371
703,151,400
704,151,466
705,151,499
706,152,276
707,152,277
708,153,253
709,153,331
710,153,453
711,153,459
712,154,302
713,154,417
714,155,324
715,155,359
716,155,363
717,155,548
718,156,287
719,157,435
720,158,212
721,158,249
722,158,358
723,158,477
724,159,201
725,159,282
726,159,300
727,160,251
728,160,549
729,161,296
730,162,306
731,162,384
732,162,435
733,163,247
734,163,249
735,163,399
736,164,249
737,164,304
738,164,432
739,165,410
740,165,434
741,166,196
742,166,297
743,166,376
744,166,516
745,166,538
746,167,387
747,167,422
748,167,540
749,168,188
750,168,245
751,168,284
752,168,351
753,168,389
754,168,447
755,169,192
756,169,439
757,169,540
758,170,297
759,170,312
760,170,431
761,170,486
762,170,538
763,171,519
764,171,524
